basements,central_air,exterior_condition,fireplaces,garage_type,interior_condition,market_value,number_of_rooms,number_stories,parcel_shape,street_designation,topography,total_area,total_livable_area,type_heater,view_type,building_description,section
0,Y,4.0,0.0,A,4.0,257500.0,6.0,2.0,E,ST ,6,2625.3,1266.0,H,I,MASONRY,South
0,Y,4.0,0.0,A,4.0,249400.0,6.0,2.0,E,ST ,6,1622.7,1266.0,A,I,MASONRY,South
0,Y,4.0,0.0,A,4.0,249500.0,6.0,2.0,E,ST ,6,1624.5,1266.0,A,I,MASONRY,South
0,Y,4.0,0.0,A,4.0,249500.0,6.0,2.0,E,ST ,6,1627.2,1266.0,H,I,MASONRY,South
0,Y,4.0,0.0,A,4.0,253800.0,6.0,2.0,E,ST ,6,1683.9,1310.0,H,I,MASONRY,South
C,N,4.0,0.0,0,4.0,240400.0,6.0,2.0,E,ST ,6,1541.28,1280.0,H,I,MASONRY,South
D,N,4.0,0.0,0,4.0,297800.0,7.0,2.0,E,ST ,6,1604.0,2160.0,H,I,MASONRY,South
C,N,4.0,0.0,0,4.0,251600.0,6.0,2.0,E,ST ,6,1608.0,1419.0,H,I,MASONRY,South
H,N,4.0,0.0,0,4.0,220400.0,6.0,2.0,E,ST ,6,1712.0,1032.0,A,I,MASONRY,South
D,N,4.0,0.0,0,4.0,321600.0,9.0,3.0,E,ST ,6,1482.41,2074.0,H,I,MASONRY,South
D,N,4.0,0.0,0,4.0,237600.0,6.0,2.0,E,ST ,6,1794.18,1200.0,B,I,MASONRY,South
H,N,4.0,0.0,0,4.0,255400.0,7.0,2.0,E,ST ,6,1448.0,1509.0,H,I,MASONRY,South
D,N,4.0,0.0,0,4.0,285100.0,7.0,3.0,E,ST ,6,1632.0,1504.0,H,I,MASONRY,South
D,N,3.0,0.0,0,4.0,261800.0,7.0,2.0,E,ST ,6,1632.0,1506.0,H,I,MASONRY,South
D,Y,4.0,1.0,0,4.0,245600.0,6.0,2.0,E,ST ,6,1520.98,1160.0,H,I,MASONRY,South
D,N,4.0,0.0,A,4.0,288200.0,7.0,2.0,B,ST ,6,3527.0,1800.0,H,I,MASONRY,South
A,Y,2.0,0.0,0,2.0,449700.0,8.0,3.0,E,ST ,6,1916.0,2308.0,A,I,MASONRY,South
D,N,4.0,0.0,0,4.0,252700.0,7.0,2.0,E,ST ,6,1600.0,1600.0,H,I,MASONRY,South
D,Y,3.0,0.0,0,3.0,343100.0,6.0,3.0,E,ST ,6,1608.0,1464.0,H,I,MASONRY,South
D,Y,4.0,0.0,0,4.0,285300.0,7.0,2.0,E,ST ,6,2100.21,1810.0,A,I,MASONRY,South
D,N,4.0,0.0,A,4.0,260200.0,6.0,2.0,E,ST ,6,1687.62,1464.0,H,I,MASONRY,South
C,Y,2.0,0.0,0,2.0,439800.0,6.0,3.0,E,ST ,6,1440.0,1800.0,A,I,MASONRY,South
D,Y,4.0,0.0,0,4.0,219900.0,6.0,2.0,E,ST ,6,1700.0,1030.0,H,I,MASONRY,South
D,N,3.0,0.0,0,3.0,211800.0,6.0,2.0,E,AVE,6,1629.25,1308.0,B,I,MASONRY,South
D,N,4.0,0.0,B,4.0,276300.0,7.0,2.0,E,ST ,6,1831.51,1740.0,H,I,MASONRY,South
D,N,4.0,0.0,0,4.0,238700.0,6.0,2.0,E,ST ,6,1486.56,1320.0,H,I,MASONRY,South
D,N,4.0,0.0,0,4.0,267600.0,7.0,2.0,E,ST ,6,1541.92,1740.0,H,I,MASONRY,South
D,N,4.0,0.0,0,4.0,242100.0,6.0,2.0,E,ST ,6,1598.88,1344.0,H,I,MASONRY,South
D,Y,3.0,0.0,0,3.0,311500.0,5.0,2.0,E,ST ,6,1657.28,1344.0,H,I,MASONRY,South
D,N,5.0,0.0,0,5.0,220000.0,7.0,2.0,A,ST ,6,4440.0,2592.0,H,I,MASONRY,South
D,Y,4.0,0.0,0,4.0,334000.0,7.0,2.0,A,ST ,6,3037.0,2463.0,A,I,MASONRY,South
D,Y,2.0,0.0,0,2.0,359200.0,8.0,2.0,A,ST ,6,1440.0,1314.0,A,I,MASONRY,South
D,N,4.0,0.0,0,4.0,252500.0,6.0,2.0,E,ST ,6,1588.0,1120.0,H,I,MASONRY,South
D,Y,2.0,0.0,0,2.0,341600.0,6.0,2.0,E,ST ,6,1453.86,1170.0,H,I,MASONRY,South
D,N,4.0,0.0,0,4.0,271700.0,6.0,2.0,E,ST ,6,1588.0,1344.0,H,I,MASONRY,South
D,N,4.0,0.0,0,4.0,252600.0,6.0,2.0,E,ST ,6,1592.0,1120.0,H,I,MASONRY,South
D,Y,4.0,0.0,0,4.0,444200.0,12.0,2.0,E,ST ,6,5221.87,4844.0,A,I,MASONRY,South
D,Y,3.0,0.0,B,3.0,395900.0,7.0,0.0,E,ST ,6,3564.0,2712.0,A,I,MASONRY+OTHER,South
D,Y,3.0,0.0,B,3.0,395900.0,7.0,0.0,E,ST ,6,3564.0,2712.0,A,I,MASONRY+OTHER,South
D,Y,3.0,0.0,B,3.0,395900.0,7.0,0.0,E,ST ,6,3564.0,2712.0,A,I,MASONRY+OTHER,South
D,Y,3.0,0.0,B,3.0,395800.0,7.0,0.0,A,ST ,6,3556.0,2712.0,A,I,MASONRY+OTHER,South
D,Y,3.0,0.0,B,3.0,397600.0,7.0,0.0,A,ST ,6,3744.0,2712.0,A,I,MASONRY+OTHER,South
D,N,4.0,0.0,0,4.0,213100.0,6.0,2.0,E,AVE,6,1461.36,1144.0,H,I,MASONRY,South
C,N,4.0,0.0,0,4.0,225300.0,6.0,0.0,A,ST ,6,2389.28,1272.0,A,I,MASONRY,South
D,Y,4.0,0.0,0,4.0,257700.0,7.0,2.0,E,ST ,6,1487.2,1795.0,B,I,MASONRY,South
C,Y,2.0,0.0,0,2.0,209100.0,7.0,2.0,E,ST ,6,1517.7,2688.0,A,I,MASONRY,South
C,Y,3.0,0.0,0,3.0,238300.0,7.0,2.0,E,ST ,6,1561.56,1613.0,A,I,MASONRY,South
D,N,4.0,0.0,C,4.0,277100.0,7.0,2.0,E,ST ,6,1479.0,1894.0,H,I,MASONRY,South
D,Y,3.0,0.0,C,3.0,361900.0,7.0,2.0,E,ST ,6,1445.0,2061.0,H,I,MASONRY,South
C,N,5.0,0.0,B,5.0,172600.0,7.0,2.0,E,ST ,6,1774.52,1600.0,A,I,MASONRY,South
D,N,4.0,0.0,0,4.0,274800.0,7.0,2.0,E,AVE,6,2036.0,2000.0,H,I,MASONRY,South
D,N,4.0,0.0,0,4.0,264800.0,7.0,0.0,E,ST ,6,1917.0,1905.0,H,I,MASONRY,South
0,Y,3.0,0.0,A,3.0,386600.0,5.0,0.0,A,ST ,6,2084.0,1704.0,A,I,FRAME,South
F,Y,3.0,0.0,A,3.0,397600.0,5.0,0.0,E,ST ,6,2083.82,1704.0,A,I,FRAME,South
D,N,4.0,0.0,0,4.0,273700.0,6.0,3.0,E,ST ,6,1483.2,1846.0,H,I,MASONRY,South
D,Y,4.0,0.0,0,4.0,227500.0,7.0,0.0,E,ST ,6,5527.2,1249.0,H,I,MASONRY,South
0,Y,3.0,0.0,C,3.0,337800.0,5.0,0.0,A,ST ,6,2424.0,1760.0,A,I,FRAME,South
0,Y,3.0,0.0,A,3.0,383500.0,3.0,0.0,E,ST ,6,2419.96,1760.0,A,I,FRAME,South
0,Y,3.0,0.0,A,3.0,386900.0,3.0,0.0,A,ST ,6,2660.0,1760.0,A,I,FRAME,South
0,Y,3.0,0.0,A,3.0,389300.0,3.0,0.0,A,ST ,6,2849.0,1760.0,A,I,FRAME,South
0,Y,3.0,0.0,A,3.0,385700.0,3.0,0.0,A,ST ,6,2573.0,1760.0,A,I,FRAME,South
0,Y,3.0,0.0,A,3.0,337800.0,3.0,0.0,A,ST ,6,2534.0,1760.0,A,I,FRAME,South
D,Y,3.0,0.0,A,3.0,390800.0,5.0,0.0,E,ST ,6,3073.78,1760.0,A,I,FRAME,South
D,Y,3.0,0.0,A,3.0,388000.0,3.0,0.0,E,ST ,6,2835.0,1760.0,A,I,FRAME,South
C,Y,3.0,0.0,A,3.0,388000.0,3.0,0.0,E,ST ,6,2835.0,1760.0,A,I,FRAME,South
D,Y,3.0,0.0,A,3.0,388000.0,3.0,0.0,E,ST ,6,2835.0,1480.0,A,I,FRAME,South
D,Y,3.0,0.0,A,3.0,391100.0,3.0,0.0,A,ST ,6,3099.0,1760.0,A,I,FRAME,South
D,Y,3.0,0.0,A,3.0,400600.0,3.0,0.0,B,ST ,6,4047.0,2130.0,A,I,FRAME,South
A,Y,3.0,0.0,A,3.0,388200.0,3.0,0.0,E,ST ,6,2854.8,1760.0,A,I,FRAME,South
D,Y,3.0,0.0,A,3.0,388000.0,5.0,0.0,E,ST ,6,2835.0,1760.0,A,I,FRAME,South
A,Y,3.0,0.0,A,3.0,388200.0,6.0,0.0,A,ST ,6,2855.0,1760.0,A,I,FRAME,South
D,Y,3.0,0.0,A,3.0,389800.0,5.0,0.0,A,ST ,6,3115.98,1760.0,A,I,FRAME,South
G,Y,3.0,0.0,A,3.0,386600.0,6.0,0.0,A,ST ,6,2852.0,1760.0,A,I,FRAME,South
D,Y,3.0,0.0,A,3.0,388200.0,5.0,0.0,A,ST ,6,2855.0,1760.0,A,I,FRAME,South
0,Y,3.0,0.0,A,3.0,386600.0,5.0,0.0,A,ST ,6,2853.0,1760.0,A,I,FRAME,South
0,Y,3.0,0.0,A,3.0,386600.0,5.0,0.0,A,ST ,6,2854.0,1760.0,A,I,FRAME,South
0,Y,3.0,0.0,A,3.0,389500.0,5.0,0.0,A,ST ,6,3092.0,1760.0,A,I,FRAME,South
I,Y,2.0,0.0,B,2.0,514900.0,8.0,3.0,E,AVE,6,2269.5,2632.0,A,I,MASONRY,South
D,Y,4.0,0.0,B,4.0,446500.0,7.0,2.0,E,AVE,6,1539.0,2200.0,A,I,MASONRY,South
D,N,4.0,0.0,0,4.0,216100.0,6.0,0.0,E,ST ,6,2266.97,1148.0,H,I,MASONRY,South
G,Y,3.0,0.0,A,3.0,381400.0,5.0,0.0,A,ST ,6,2455.0,1704.0,A,I,FRAME,South
